country,danceability,energy,valence,tempo
GB,0.645,0.634,0.352,0.595
GB,0.727,0.782,0.655,0.381
GB,0.464,0.745,0.262,0.702
GB,0.432,0.583,0.544,0.71
GB,0.527,0.551,0.443,0.531
GB,0.857,0.62,0.796,0.382
GB,0.504,0.386,0.281,0.766
GB,0.898,0.472,0.214,0.28
GB,0.352,0.911,0.236,0.531
GB,0.936,0.878,0.902,0.419
GB,0.706,0.8,0.629,0.275
GB,0.701,0.751,0.22,0.435
GB,0.61,0.65,0.507,0.31
GB,0.852,0.697,0.919,0.478
GB,0.482,0.757,0.12,0.502
GB,0.66,0.756,0.838,0.36
GB,0.646,0.668,0.64,0.226
GB,0.657,0.82,0.709,0.403
GB,0.555,0.216,0.504,0.163
GB,0.53,0.406,0.338,0.36
GB,0.893,0.4,0.945,0.408
GB,0.611,0.911,0.495,0.381
GB,0.681,0.714,0.554,0.435
GB,0.448,0.369,0.0998,0.67
GB,0.492,0.416,0.297,0.247
GB,0.532,0.623,0.403,0.221
GB,0.882,0.764,0.886,0.489
GB,0.505,0.754,0.51,0.377
GB,0.467,0.247,0.126,0.531
GB,0.315,0.715,0.497,0.573
GB,0.689,0.454,0.912,0.595
GB,0.599,0.946,0.747,0.55
GB,0.828,0.492,0.789,0.382
GB,0.508,0.411,0.34,0.44
GB,0.429,0.453,0.155,0.155
GB,0.785,0.831,0.673,0.414
GB,0.542,0.905,0.374,0.56
GB,0.491,0.583,0.908,0.545
GB,0.731,0.861,0.759,0.424
GB,0.632,0.856,0.867,0.378
GB,0.578,0.866,0.619,0.424
GB,0.699,0.83,0.889,0.305
GB,0.671,0.753,0.543,0.424
GB,0.545,0.675,0.162,0.408
GB,0.578,0.509,0.586,0.381
GB,0.73,0.487,0.731,0.354
GB,0.483,0.731,0.484,0.283
GB,0.532,0.723,0.379,0.424
GB,0.645,0.646,0.295,0.359
GB,0.394,0.808,0.736,0.278
GB,0.638,0.717,0.422,0.498
GB,0.687,0.617,0.665,0.387
GB,0.573,0.902,0.876,0.191
GB,0.674,0.832,0.981,0.413
GB,0.525,0.488,0.253,0.194
GB,0.609,0.758,0.236,0.408
GB,0.717,0.455,0.389,0.423
GB,0.582,0.909,0.868,0.376
GB,0.527,0.942,0.495,0.535
GB,0.359,0.543,0.453,0.106
GB,0.464,0.417,0.479,0.101
GB,0.429,0.661,0.285,0.666
GB,0.633,0.931,0.566,0.208
GB,0.545,0.545,0.549,0.595
GB,0.671,0.373,0.732,0.236
GB,0.556,0.319,0.294,0.462
GB,0.442,0.538,0.139,0.396
GB,0.726,0.769,0.733,0.264
GB,0.558,0.559,0.62,0.16
GB,0.369,0.192,0.148,0.676
GB,0.525,0.66,0.458,0.402
GB,0.486,0.617,0.417,0.478
GB,0.469,0.263,0.112,0.434
GB,0.575,0.664,0.437,0.43
GB,0.604,0.366,0.13,0.499
GB,0.853,0.618,0.32,0.414
GB,0.743,0.675,0.59,0.237
GB,0.439,0.434,0.204,0.247
GB,0.7,0.425,0.521,0.328
GB,0.633,0.648,0.49,0.258
IN,0.702,0.853,0.643,0.36
IN,0.676,0.745,0.842,0.248
IN,0.428,0.413,0.355,0.166
IN,0.862,0.645,0.862,0.397
IN,0.464,0.745,0.262,0.702
IN,0.675,0.537,0.534,0.264
IN,0.677,0.623,0.616,0.518
IN,0.83,0.626,0.794,0.435
IN,0.76,0.391,0.433,0.263
IN,0.39,0.558,0.292,0.247
IN,0.369,0.45,0.477,0.185
IN,0.803,0.694,0.484,0.317
IN,0.273,0.405,0.534,0.218
IN,0.735,0.564,0.902,0.237
IN,0.427,0.396,0.306,0.116
IN,0.822,0.449,0.382,0.221
IN,0.84,0.715,0.542,0.258
IN,0.413,0.406,0.281,0.151
IN,0.527,0.376,0.24,0.552
IN,0.783,0.817,0.553,0.477
